Rank,School,Games,Wins,Losses,Win_Pct,SRS,SOS,Conf_W,Wins,Losses,Column_11,Wins,Losses,Home_L,Wins,Losses,Column_17,Points_For,Points_Against,Points_Dummy,Minutes_Played,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,Season,NCAA_Tournament
1,Air Force,28,8,20,0.286,-5.07,2.58,,4,10,,6,8,,2,10,,1889,2046,,1140,654,1673,0.391,184,590,0.312,397,610,0.651,412.0,1009,336,243,53,408.0,587.0,2000,False
2,Akron,28,17,11,0.607,3.44,1.32,,11,7,,11,3,,6,8,,2126,2009,,,705,1574,0.448,131,406,0.323,585,767,0.763,316.0,981,431,226,89,389.0,505.0,2000,False
3,Alabama,29,13,16,0.448,7.44,7.62,,6,10,,11,3,,0,10,,2094,2099,,,715,1665,0.429,186,540,0.344,478,673,0.71,412.0,1212,312,184,120,,,2000,False
4,Alabama A&M,28,18,10,0.643,-12.27,-12.07,,14,4,,11,2,,6,8,,2126,1984,,1125,764,1929,0.396,168,550,0.305,430,661,0.651,530.0,1196,386,366,99,510.0,548.0,2000,False
5,Alabama State,28,13,15,0.464,-16.56,-12.35,,10,8,,8,6,,5,7,,1867,1932,,1125,648,1551,0.418,144,446,0.323,429,672,0.638,367.0,1045,341,238,83,530.0,473.0,2000,False
6,Albany (NY),28,11,17,0.393,-15.51,-9.59,,,,,7,4,,4,12,,1828,1920,,1125,663,1545,0.429,236,649,0.364,266,385,0.691,249.0,859,402,234,111,468.0,493.0,2000,False
7,Alcorn State,29,19,10,0.655,-9.89,-11.6,,15,3,,11,0,,6,9,,2161,2037,,,767,1727,0.444,135,455,0.297,458,654,0.7,460.0,1177,410,300,71,549.0,555.0,2000,False
8,American,29,11,18,0.379,-6.13,-3.42,,5,11,,9,4,,1,13,,1904,1962,,1185,714,1778,0.402,118,411,0.287,358,566,0.633,419.0,1103,376,274,118,476.0,561.0,2000,False
9,Appalachian State NCAA,32,23,9,0.719,2.49,-3.75,,13,3,,11,0,,9,7,,2530,2228,,1285,915,1882,0.486,200,515,0.388,500,705,0.709,374.0,1151,534,325,127,506.0,627.0,2000,True
10,Arizona NCAA,34,27,7,0.794,18.96,9.7,,15,3,,16,1,,7,4,,2599,2284,,1365,904,1976,0.457,155,482,0.322,636,871,0.73,412.0,1306,537,255,192,510.0,496.0,2000,True
11,Arizona State,32,19,13,0.594,12.11,8.75,,10,8,,14,3,,5,8,,2539,2395,,1305,924,2127,0.434,162,481,0.337,529,726,0.729,503.0,1236,516,274,87,485.0,776.0,2000,False
12,Arkansas NCAA,34,19,15,0.559,12.37,7.76,,7,9,,11,6,,2,7,,2529,2372,,,931,2168,0.429,292,832,0.351,375,622,0.603,451.0,1159,458,379,120,494.0,705.0,2000,True
13,Arkansas State,28,10,18,0.357,-4.73,-0.48,,7,9,,6,6,,3,10,,2004,2123,,1130,714,1637,0.436,191,569,0.336,385,547,0.704,307.0,951,423,215,66,426.0,552.0,2000,False
14,Arkansas-Pine Bluff,27,6,21,0.222,-24.28,-10.04,,5,13,,4,7,,2,14,,1828,2164,,,667,1568,0.425,95,359,0.265,399,667,0.598,353.0,1042,327,277,91,591.0,534.0,2000,False
15,Army,28,5,23,0.179,-19.89,-6.43,,2,10,,4,9,,1,13,,1482,1796,,1125,536,1476,0.363,132,429,0.308,278,449,0.619,307.0,903,266,222,62,516.0,600.0,2000,False
16,Auburn NCAA,34,24,10,0.706,13.59,8.2,,9,7,,14,1,,3,6,,2423,2188,,1370,874,2118,0.413,227,695,0.327,448,684,0.655,533.0,1335,438,247,110,450.0,582.0,2000,True
17,Austin Peay,28,18,10,0.643,0.94,-3.29,,11,7,,10,4,,7,6,,2110,1949,,1150,797,1618,0.493,160,438,0.365,356,492,0.724,326.0,994,426,175,106,396.0,448.0,2000,False
18,Ball State NCAA,31,22,9,0.71,7.84,3.17,,11,7,,14,1,,4,7,,2300,2138,,1285,834,1840,0.453,215,538,0.4,417,681,0.612,398.0,1138,428,258,131,420.0,530.0,2000,True
19,Baylor,29,14,15,0.483,2.2,4.59,,4,12,,12,7,,1,7,,1933,1966,,1170,686,1622,0.423,207,639,0.324,354,550,0.644,332.0,1034,429,257,129,496.0,492.0,2000,False
20,Belmont,28,7,21,0.25,-10.98,-1.39,,,,,6,9,,1,12,,1923,2107,,,633,1521,0.416,273,776,0.352,384,539,0.712,291.0,919,412,154,46,429.0,538.0,2000,False
21,Bethune-Cookman,29,14,15,0.483,-8.85,-9.63,,12,6,,7,2,,5,12,,2186,2178,,,773,1775,0.435,182,506,0.36,458,686,0.668,372.0,1073,397,242,65,497.0,676.0,2000,False
22,Boise State,27,12,15,0.444,0.54,0.5,,6,10,,7,7,,5,8,,1680,1679,,1085,597,1348,0.443,129,368,0.351,357,549,0.65,296.0,809,291,211,55,476.0,537.0,2000,False
