Rank,School,Games,Wins,Losses,Win_Pct,SRS,SOS,Conf_W,Wins,Losses,Column_11,Wins,Losses,Home_L,Wins,Losses,Column_17,Points_For,Points_Against,Points_Dummy,Minutes_Played,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,Season,NCAA_Tournament
1,Air Force,28,9,19,0.321,-0.95,3.23,,3,11,,5,6,,2,12,,1605,1722,,1160,533,1151,0.463,208,558,0.373,331,465,0.712,154.0,614,327,228,39,390,557.0,2002,False
2,Akron,31,10,21,0.323,-4.83,0.37,,5,13,,6,6,,3,9,,2154,2304,,1250,709,1581,0.448,182,491,0.371,554,731,0.758,295.0,933,416,180,77,450,570.0,2002,False
3,Alabama NCAA,35,27,8,0.771,16.93,7.67,,12,4,,17,0,,4,4,,2658,2334,,,910,2071,0.439,217,703,0.309,621,844,0.736,509.0,1369,460,257,113,490,653.0,2002,True
4,Alabama A&M,29,19,10,0.655,-11.32,-15.8,,12,6,,12,2,,7,7,,2318,2123,,1160,814,2010,0.405,212,681,0.311,478,711,0.672,506.0,1217,426,395,116,504,634.0,2002,False
5,Alabama State,32,19,13,0.594,-13.25,-14.14,,12,6,,12,2,,5,9,,2095,2067,,1290,715,1681,0.425,182,533,0.341,483,755,0.64,389.0,1167,314,217,89,538,524.0,2002,False
6,Albany (NY),28,8,20,0.286,-16.99,-8.85,,5,11,,5,7,,3,12,,1593,1821,,1125,594,1538,0.386,163,497,0.328,242,361,0.67,310.0,904,285,195,83,405,508.0,2002,False
7,Alcorn State NCAA,31,21,10,0.677,-11.27,-14.17,,16,2,,11,0,,8,9,,2473,2374,,,900,1935,0.465,173,458,0.378,500,777,0.644,453.0,1243,496,258,125,538,568.0,2002,True
8,American,30,18,12,0.6,-4.99,-6.19,,10,4,,8,6,,8,6,,1977,1941,,1215,680,1507,0.451,215,604,0.356,402,554,0.726,272.0,983,412,201,78,482,533.0,2002,False
9,Appalachian State,28,10,18,0.357,-7.52,-0.64,,5,11,,7,6,,3,11,,2140,2211,,1125,745,1700,0.438,170,481,0.353,480,703,0.683,367.0,1048,426,241,77,480,557.0,2002,False
10,Arizona NCAA,34,24,10,0.706,16.91,12.47,,12,6,,13,4,,6,5,,2793,2642,,1370,935,2039,0.459,258,686,0.376,665,910,0.731,430.0,1286,527,207,103,478,609.0,2002,True
11,Arizona State,29,14,15,0.483,9.79,6.79,,7,11,,12,5,,2,10,,2229,2142,,1165,812,1784,0.455,144,431,0.334,461,703,0.656,415.0,1070,475,208,77,438,688.0,2002,False
12,Arkansas,29,14,15,0.483,12.27,10.14,,6,10,,11,5,,3,7,,2171,2108,,1165,775,1777,0.436,232,694,0.334,389,598,0.651,319.0,930,445,306,99,413,651.0,2002,False
13,Arkansas State,31,15,16,0.484,2.13,-1.98,,5,9,,9,4,,3,9,,2259,2076,,1260,826,1815,0.455,190,540,0.352,417,575,0.725,403.0,1154,410,230,166,460,525.0,2002,False
14,Arkansas-Pine Bluff,28,2,26,0.071,-27.48,-8.69,,2,16,,2,7,,0,19,,1852,2378,,,647,1789,0.362,143,530,0.27,415,628,0.661,370.0,964,298,311,66,531,532.0,2002,False
15,Army,28,12,16,0.429,-13.02,-7.44,,6,8,,8,6,,4,9,,1871,1962,,1125,650,1518,0.428,145,425,0.341,426,596,0.715,286.0,914,326,162,74,412,543.0,2002,False
16,Auburn,28,12,16,0.429,6.89,7.97,,4,12,,12,5,,0,9,,1835,1865,,1120,659,1575,0.418,163,517,0.315,354,597,0.593,361.0,1011,371,229,151,503,571.0,2002,False
17,Austin Peay,32,14,18,0.438,-4.01,-1.01,,8,8,,9,4,,3,11,,2255,2253,,1295,803,1785,0.45,200,604,0.331,449,702,0.64,336.0,1098,383,233,134,469,561.0,2002,False
