Rank,School,Games,Wins,Losses,Win_Pct,SRS,SOS,Conf_W,Wins,Losses,Column_11,Wins,Losses,Home_L,Wins,Losses,Column_17,Points_For,Points_Against,Points_Dummy,Minutes_Played,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,Season,NCAA_Tournament
14,Arkansas-Pine Bluff,27,2,25,0.074,-31.46,-8.35,,2,16,,2,8,,0,17,,1660,2284,,,612,1662,0.368,116,412,0.282,320,543,0.589,359.0,1005,269,210,90,526.0,537.0,2001,False
15,Army,28,9,19,0.321,-15.73,-7.65,,3,9,,7,7,,2,11,,2015,2201,,1140,644,1502,0.429,160,419,0.382,567,756,0.75,272.0,919,309,169,58,498.0,662.0,2001,False
16,Auburn,32,18,14,0.563,11.51,7.16,,7,9,,14,5,,2,7,,2477,2338,,,917,2043,0.449,198,642,0.308,445,684,0.651,466.0,1243,495,265,155,450.0,629.0,2001,False
17,Austin Peay,32,22,10,0.688,-0.18,-3.28,,10,6,,11,1,,6,8,,2510,2397,,1300,935,1845,0.507,189,510,0.371,451,641,0.704,403.0,1111,472,189,148,462.0,504.0,2001,False
18,Ball State,30,18,12,0.6,3.12,0.3,,11,7,,9,6,,7,5,,2092,1993,,1205,784,1736,0.452,193,477,0.405,331,508,0.652,412.0,1152,381,153,98,402.0,527.0,2001,False
19,Baylor,31,19,12,0.613,7.39,2.56,,6,10,,14,3,,3,8,,2209,2001,,1250,784,1748,0.449,188,630,0.298,453,673,0.673,331.0,1118,473,274,75,445.0,541.0,2001,False
20,Belmont,28,13,15,0.464,-9.73,-5.42,,,,,9,2,,3,12,,2133,2202,,1145,719,1667,0.431,288,815,0.353,407,546,0.745,350.0,995,490,151,45,422.0,552.0,2001,False
21,Bethune-Cookman,29,10,19,0.345,-17.81,-10.37,,5,13,,8,6,,1,12,,1822,1976,,,618,1541,0.401,115,375,0.307,471,738,0.638,367.0,1028,242,207,59,499.0,644.0,2001,False
22,Boise State,31,17,14,0.548,-0.69,-0.21,,8,8,,10,2,,6,9,,2237,2230,,1265,811,1778,0.456,174,501,0.347,441,653,0.675,338.0,1015,433,214,92,460.0,630.0,2001,False
23,Boston College NCAA,32,27,5,0.844,17.99,5.19,,13,3,,17,0,,6,4,,2547,2129,,1280,879,1934,0.454,230,651,0.353,559,788,0.709,486.0,1166,464,326,97,423.0,652.0,2001,True
24,Boston University,28,14,14,0.5,-5.3,-5.83,,9,9,,8,4,,5,9,,1913,1898,,,656,1577,0.416,194,545,0.356,407,559,0.728,353.0,1011,347,189,53,376.0,568.0,2001,False
25,Bowling Green State,29,15,14,0.517,1.99,1.4,,10,8,,10,4,,5,9,,2202,2110,,1165,761,1571,0.484,134,354,0.379,546,712,0.767,276.0,952,442,221,98,424.0,587.0,2001,False
26,Bradley,31,19,12,0.613,3.15,1.75,,12,6,,13,2,,3,8,,2045,1972,,1255,699,1590,0.44,166,452,0.367,481,644,0.747,306.0,1116,403,164,127,433.0,550.0,2001,False
27,Brigham Young NCAA,33,24,9,0.727,10.95,3.48,,10,4,,15,0,,4,6,,2324,2069,,1320,744,1620,0.459,185,485,0.381,651,835,0.78,292.0,1052,414,203,108,433.0,491.0,2001,True
28,Brown,27,15,12,0.556,-8.92,-6.78,,9,5,,10,2,,5,10,,1968,2026,,1080,682,1511,0.451,154,457,0.337,450,652,0.69,327.0,968,384,211,71,472.0,539.0,2001,False
29,Bucknell,29,14,15,0.483,-12.19,-6.27,,4,8,,9,4,,4,11,,1909,2041,,,664,1542,0.431,112,357,0.314,469,762,0.615,342.0,1015,338,216,85,497.0,540.0,2001,False
30,Buffalo,28,4,24,0.143,-9.03,0.69,,2,16,,3,10,,0,13,,1873,2145,,1140,645,1548,0.417,189,529,0.357,394,605,0.651,329.0,944,331,186,66,444.0,589.0,2001,False
31,Butler NCAA,32,24,8,0.75,12.55,3.98,,11,3,,13,1,,7,6,,2228,1946,,1290,755,1643,0.46,251,617,0.407,467,652,0.716,305.0,922,388,222,89,377.0,505.0,2001,True
32,Cal Poly,28,9,19,0.321,-8.23,-1.32,,3,13,,6,9,,3,9,,2241,2273,,,773,1764,0.438,198,572,0.346,497,728,0.683,419.0,1129,334,178,96,422.0,565.0,2001,False
33,Cal State Fullerton,28,5,23,0.179,-13.24,-0.2,,3,13,,3,11,,2,11,,1657,1964,,1120,556,1336,0.416,144,471,0.306,401,585,0.685,253.0,823,327,151,56,467.0,568.0,2001,False
34,Cal State Northridge NCAA,32,22,10,0.688,5.95,0.25,,13,3,,13,1,,8,6,,2650,2409,,1285,910,1842,0.494,217,547,0.397,613,865,0.709,373.0,1158,608,267,77,489.0,716.0,2001,True
35,California NCAA,31,20,11,0.645,14.77,9.09,,11,7,,14,3,,5,7,,2304,2128,,1255,813,1699,0.479,176,503,0.35,502,732,0.686,281.0,998,508,225,66,424.0,570.0,2001,True
36,Campbell,28,7,21,0.25,-16.75,-7.36,,5,13,,4,7,,3,13,,1819,2082,,1130,682,1599,0.427,147,432,0.34,308,464,0.664,340.0,943,338,155,84,401.0,510.0,2001,False
37,Canisius,31,20,11,0.645,-2.11,-4.63,,9,9,,12,3,,7,8,,2395,2317,,,840,1850,0.454,227,601,0.378,488,706,0.691,370.0,1162,494,199,99,414.0,624.0,2001,False
38,Centenary (LA),27,8,19,0.296,-13.05,-1.5,,,,,8,3,,0,15,,1854,2036,,1080,619,1494,0.414,133,410,0.324,483,641,0.754,,950,292,156,52,392.0,640.0,2001,False
39,Central Connecticut State,28,14,14,0.5,-8.79,-10.18,,11,9,,8,5,,6,7,,2050,2011,,1130,710,1610,0.441,155,429,0.361,475,681,0.698,419.0,1090,337,209,91,466.0,568.0,2001,False
40,Central Michigan,28,20,8,0.714,0.98,0.01,,14,4,,13,1,,7,6,,1998,1901,,1130,669,1370,0.488,130,373,0.349,530,723,0.733,259.0,921,374,167,65,426.0,546.0,2001,False
41,Charleston Southern,29,10,19,0.345,-16.14,-7.06,,6,8,,7,6,,2,10,,1860,2086,,1175,677,1583,0.428,135,419,0.322,371,580,0.64,353.0,966,345,283,91,531.0,648.0,2001,False
42,Charlotte NCAA,33,22,11,0.667,14.24,7.91,,10,6,,10,2,,7,7,,2583,2374,,,873,1998,0.437,305,848,0.36,532,777,0.685,411.0,1267,471,231,97,418.0,663.0,2001,True
43,Chattanooga,30,17,13,0.567,-2.12,-3.79,,9,7,,12,2,,3,9,,2195,2094,,,742,1654,0.449,197,561,0.351,514,733,0.701,409.0,1122,411,202,68,461.0,545.0,2001,False
44,Chicago State,28,5,23,0.179,-15.14,-1.28,,2,14,,3,9,,2,13,,1776,2120,,1130,682,1586,0.43,131,403,0.325,281,456,0.616,355.0,986,381,171,90,496.0,599.0,2001,False
45,Cincinnati NCAA,35,25,10,0.714,16.19,7.85,,11,5,,11,3,,7,5,,2586,2294,,1420,921,2076,0.444,214,600,0.357,530,760,0.697,464.0,1216,451,194,118,380.0,666.0,2001,True
46,Clemson,31,12,19,0.387,2.73,8.31,,2,14,,9,7,,1,9,,2298,2471,,1250,797,1879,0.424,248,692,0.358,456,650,0.702,384.0,1185,434,187,69,496.0,668.0,2001,False
47,Cleveland State,32,19,13,0.594,2.06,1.56,,9,5,,11,2,,6,8,,2192,2165,,1295,725,1717,0.422,196,531,0.369,546,795,0.687,434.0,1185,324,210,130,488.0,647.0,2001,False
48,Coastal Carolina,28,8,20,0.286,-13.37,-6.62,,6,8,,6,7,,2,12,,1984,2173,,1140,694,1582,0.439,171,497,0.344,425,604,0.704,340.0,914,390,243,56,518.0,606.0,2001,False
49,Colgate,28,13,15,0.464,-10.86,-8.14,,6,6,,9,3,,4,10,,1979,2004,,,658,1501,0.438,130,366,0.355,533,749,0.712,337.0,958,357,203,70,482.0,643.0,2001,False
50,College of Charleston,29,22,7,0.759,1.62,-4.56,,12,4,,13,0,,6,4,,1942,1739,,1165,678,1494,0.454,119,356,0.334,467,615,0.759,317.0,983,431,206,147,367.0,465.0,2001,False
51,Colorado,30,15,15,0.5,11.11,5.66,,5,11,,8,7,,6,6,,2419,2250,,1215,837,1818,0.46,186,518,0.359,559,783,0.714,402.0,1186,517,227,96,494.0,653.0,2001,False
52,Colorado State,28,15,13,0.536,5.51,2.35,,6,8,,10,3,,2,8,,1932,1774,,1130,666,1391,0.479,183,454,0.403,417,625,0.667,297.0,971,432,162,42,424.0,556.0,2001,False
53,Columbia,27,12,15,0.444,-10.78,-7.5,,7,7,,9,3,,2,12,,1539,1591,,1095,514,1230,0.418,157,454,0.346,354,500,0.708,200.0,838,333,140,99,415.0,512.0,2001,False
54,Connecticut,32,20,12,0.625,10.17,5.43,,8,8,,17,2,,1,8,,2348,2185,,1285,860,1850,0.465,102,298,0.342,526,751,0.7,475.0,1231,444,257,120,481.0,593.0,2001,False
55,Coppin State,28,13,15,0.464,-12.04,-9.4,,11,8,,7,5,,4,9,,1806,1880,,1120,628,1523,0.412,129,408,0.316,421,566,0.744,326.0,959,256,162,85,436.0,556.0,2001,False
56,Cornell,27,7,20,0.259,-14.4,-7.52,,3,11,,4,8,,3,9,,1686,1832,,1085,578,1487,0.389,173,585,0.296,357,535,0.667,330.0,904,292,193,38,361.0,529.0,2001,False
57,Creighton NCAA,32,24,8,0.75,12.41,3.01,,14,4,,14,0,,7,5,,2325,2024,,1285,788,1782,0.442,249,694,0.359,500,712,0.702,357.0,1084,490,293,114,426.0,646.0,2001,True
58,Dartmouth,27,8,19,0.296,-14.38,-7.34,,3,11,,6,7,,2,11,,1720,1883,,1085,577,1436,0.402,218,661,0.33,348,489,0.712,221.0,851,389,160,64,374.0,481.0,2001,False
59,Davidson,32,15,17,0.469,-8.76,-3.66,,7,9,,10,4,,2,9,,2208,2238,,1285,774,1816,0.426,197,555,0.355,463,699,0.662,404.0,1247,438,209,119,576.0,708.0,2001,False
60,Dayton,34,21,13,0.618,9.71,6.12,,9,7,,12,6,,6,6,,2418,2296,,1360,819,1854,0.442,254,686,0.37,526,718,0.733,446.0,1208,517,206,85,482.0,615.0,2001,False
61,Delaware,30,20,10,0.667,1.9,-6.03,,14,4,,12,2,,7,8,,2252,2014,,1210,801,1732,0.462,251,654,0.384,399,578,0.69,366.0,1142,463,219,157,486.0,604.0,2001,False
62,Delaware State,28,13,15,0.464,-15.11,-10.97,,11,7,,8,3,,5,11,,1785,1901,,1120,646,1500,0.431,183,558,0.328,310,469,0.661,309.0,851,398,191,71,378.0,497.0,2001,False
63,Denver,28,10,18,0.357,-7.28,-1.28,,5,11,,6,9,,4,8,,1888,1978,,1130,701,1664,0.421,163,497,0.328,323,540,0.598,376.0,1086,359,185,71,467.0,526.0,2001,False
64,DePaul,30,12,18,0.4,5.34,8.02,,4,12,,8,8,,3,8,,2168,2219,,1200,766,1744,0.439,184,549,0.335,452,669,0.676,396.0,1130,439,160,108,434.0,559.0,2001,False
65,Detroit Mercy,37,25,12,0.676,7.83,2.44,,10,4,,13,0,,9,7,,2600,2381,,,920,2036,0.452,279,745,0.374,481,706,0.681,467.0,1292,473,214,105,448.0,711.0,2001,False
66,Drake,28,12,16,0.429,0.83,-0.21,,8,10,,10,5,,2,10,,1965,1936,,1130,668,1449,0.461,201,507,0.396,428,562,0.762,240.0,934,385,139,64,380.0,480.0,2001,False
67,Drexel,27,15,12,0.556,-4.06,-5.43,,12,6,,9,2,,5,9,,2025,1988,,,723,1523,0.475,163,439,0.371,416,610,0.682,316.0,1047,411,144,51,444.0,560.0,2001,False
68,Duke NCAA,39,35,4,0.897,32.18,11.98,,13,3,,13,2,,9,1,,3538,2750,,1565,1217,2530,0.481,407,1057,0.385,697,1002,0.696,538.0,1505,701,411,196,531.0,659.0,2001,True
69,Duquesne,30,9,21,0.3,-3.14,3.96,,3,13,,7,6,,0,12,,2116,2329,,1200,735,1660,0.443,156,440,0.355,490,702,0.698,352.0,990,331,196,64,509.0,594.0,2001,False
70,East Carolina,28,14,14,0.5,-4.24,-3.16,,6,10,,10,3,,3,11,,2018,2044,,,659,1603,0.411,228,662,0.344,472,651,0.725,295.0,1002,356,165,47,386.0,565.0,2001,False
71,East Tennessee State,28,18,10,0.643,-3.06,-6.14,,13,3,,11,2,,7,7,,2034,1825,,1125,727,1638,0.444,153,466,0.328,427,693,0.616,408.0,1095,375,279,90,462.0,624.0,2001,False
72,Eastern Illinois NCAA,31,21,10,0.677,0.99,-2.45,,11,5,,13,0,,5,9,,2564,2439,,1245,915,1931,0.474,230,584,0.394,504,650,0.775,359.0,1124,514,197,116,427.0,577.0,2001,True
73,Eastern Kentucky,26,7,19,0.269,-13.6,-2.73,,1,15,,6,7,,1,12,,1895,2099,,1050,677,1612,0.42,169,476,0.355,372,589,0.632,374.0,998,335,176,101,451.0,574.0,2001,False
74,Eastern Michigan,28,3,25,0.107,-11.43,-0.79,,1,17,,3,11,,0,14,,1672,1970,,1120,593,1403,0.423,139,455,0.305,347,542,0.64,256.0,865,314,132,80,433.0,511.0,2001,False
75,Eastern Washington,28,17,11,0.607,0.05,-0.75,,11,5,,8,4,,7,7,,2010,1925,,1130,680,1413,0.481,127,347,0.366,523,716,0.73,250.0,809,427,213,51,466.0,596.0,2001,False
76,Elon,29,9,20,0.31,-17.91,-9.17,,4,10,,7,5,,1,14,,1873,2064,,1170,669,1523,0.439,171,525,0.326,364,528,0.689,294.0,893,331,196,92,470.0,555.0,2001,False
77,Evansville,30,14,16,0.467,-1.67,1.77,,9,9,,10,4,,4,9,,2066,2146,,1225,733,1515,0.484,186,478,0.389,414,590,0.702,219.0,916,515,149,66,454.0,525.0,2001,False
78,Fairfield,28,12,16,0.429,-6.44,-3.51,,8,10,,5,5,,6,9,,2069,2151,,1145,708,1624,0.436,118,410,0.288,535,740,0.723,377.0,1049,366,224,113,469.0,568.0,2001,False
79,FDU,28,13,15,0.464,-11.42,-8.45,,10,10,,7,4,,6,10,,1919,2002,,,661,1519,0.435,195,587,0.332,402,667,0.603,345.0,986,375,211,71,448.0,513.0,2001,False
80,Florida NCAA,31,24,7,0.774,21.36,7.55,,12,4,,14,2,,8,3,,2509,2081,,1245,849,1764,0.481,256,668,0.383,555,761,0.729,319.0,1145,538,271,114,451.0,589.0,2001,True
81,Florida A&M,28,6,22,0.214,-22.88,-10.23,,4,14,,5,9,,1,12,,1876,2230,,1125,621,1563,0.397,165,528,0.313,469,723,0.649,391.0,956,290,235,100,545.0,704.0,2001,False
82,Florida Atlantic,31,7,24,0.226,-16.06,-3.79,,5,13,,3,10,,3,12,,2119,2519,,1240,761,1928,0.395,206,611,0.337,391,566,0.691,462.0,1164,414,198,64,534.0,665.0,2001,False
83,Florida International,29,8,21,0.276,-9.15,-0.68,,5,11,,5,10,,2,10,,1727,1947,,1165,608,1444,0.421,142,436,0.326,369,528,0.699,268.0,801,255,175,26,388.0,532.0,2001,False
84,Florida State,30,9,21,0.3,3.2,11.0,,4,12,,6,10,,2,8,,2085,2288,,1225,742,1739,0.427,148,464,0.319,453,675,0.671,394.0,1097,389,186,103,448.0,600.0,2001,False
85,Fordham,29,12,17,0.414,0.53,5.33,,4,12,,8,6,,2,10,,2148,2287,,,775,1846,0.42,189,635,0.298,409,611,0.669,424.0,1126,429,261,112,470.0,587.0,2001,False
86,Fresno State NCAA,33,26,7,0.788,15.65,5.13,,13,3,,17,1,,6,4,,2689,2342,,1330,954,2030,0.47,241,678,0.355,540,793,0.681,389.0,1240,592,330,209,551.0,626.0,2001,True
87,Furman,26,10,16,0.385,-7.7,-6.02,,5,11,,6,6,,4,10,,1730,1725,,1055,633,1473,0.43,149,465,0.32,315,484,0.651,303.0,891,349,179,75,340.0,490.0,2001,False
88,George Mason NCAA,30,18,12,0.6,5.12,-0.35,,11,5,,10,1,,6,9,,2127,1963,,1210,784,1705,0.46,142,439,0.323,417,633,0.659,357.0,1018,411,252,129,429.0,544.0,2001,True
89,George Washington,32,14,18,0.438,8.37,6.3,,6,10,,9,6,,2,9,,2470,2404,,1295,835,1986,0.42,223,680,0.328,577,812,0.711,475.0,1245,424,256,110,461.0,753.0,2001,False
90,Georgetown NCAA,33,25,8,0.758,12.06,1.58,,10,6,,13,3,,7,3,,2574,2228,,,924,2115,0.437,186,561,0.332,540,817,0.661,607.0,1481,547,324,198,550.0,694.0,2001,True
91,Georgia NCAA,31,16,15,0.516,12.72,12.75,,9,7,,9,4,,5,7,,2257,2258,,1255,845,1820,0.464,142,411,0.345,425,632,0.672,397.0,1193,471,195,149,485.0,569.0,2001,True
92,Georgia Southern,30,15,15,0.5,-6.57,-5.5,,9,7,,8,4,,5,10,,2296,2261,,1205,839,1908,0.44,181,525,0.345,437,652,0.67,443.0,1182,405,230,77,463.0,581.0,2001,False
93,Georgia State NCAA,34,29,5,0.853,5.25,-3.72,,16,2,,16,0,,10,4,,2701,2337,,1360,929,2068,0.449,276,780,0.354,567,808,0.702,441.0,1171,449,351,129,435.0,617.0,2001,True
94,Georgia Tech NCAA,30,17,13,0.567,14.52,11.79,,8,8,,12,3,,3,8,,2269,2187,,,776,1822,0.426,260,700,0.371,457,662,0.69,345.0,1125,488,238,136,474.0,645.0,2001,True
95,Gonzaga NCAA,33,26,7,0.788,12.57,0.32,,13,1,,13,1,,9,5,,2720,2272,,1325,915,1793,0.51,245,606,0.404,645,947,0.681,369.0,1265,537,191,135,472.0,619.0,2001,True
96,Grambling,26,8,18,0.308,-20.7,-10.24,,8,10,,5,4,,3,14,,1953,2225,,,692,1657,0.418,158,479,0.33,411,584,0.704,350.0,958,302,196,106,437.0,560.0,2001,False
97,Green Bay,28,11,17,0.393,-2.16,2.56,,4,10,,8,7,,3,9,,1632,1764,,1125,565,1326,0.426,130,330,0.394,372,533,0.698,247.0,835,288,123,68,361.0,522.0,2001,False
98,Hampton NCAA,32,25,7,0.781,-3.66,-10.6,,14,4,,10,1,,11,5,,2471,2246,,1295,850,1846,0.46,200,575,0.348,571,835,0.684,434.0,1243,449,218,185,489.0,596.0,2001,True
99,Hartford,28,4,24,0.143,-16.83,-5.79,,1,17,,3,11,,1,12,,1821,2130,,1130,628,1539,0.408,168,500,0.336,397,611,0.65,380.0,968,323,171,67,473.0,624.0,2001,False
100,Harvard,26,14,12,0.538,-6.89,-8.51,,7,7,,10,3,,4,9,,1864,1822,,1045,671,1531,0.438,203,555,0.366,319,473,0.674,287.0,911,405,260,55,450.0,559.0,2001,False
101,Hawaii NCAA,31,17,14,0.548,6.88,7.23,,8,8,,13,5,,2,8,,2254,2265,,1250,797,1703,0.468,177,507,0.349,483,666,0.725,335.0,999,557,183,74,516.0,605.0,2001,True
102,High Point,28,8,20,0.286,-18.26,-7.98,,3,11,,8,5,,0,15,,1681,1903,,,608,1548,0.393,138,473,0.292,327,503,0.65,354.0,936,328,246,60,476.0,514.0,2001,False
103,Hofstra NCAA,31,26,5,0.839,5.12,-5.47,,16,2,,12,1,,11,2,,2257,1929,,1245,784,1657,0.473,167,503,0.332,522,807,0.647,373.0,1166,414,237,119,511.0,547.0,2001,True
104,Holy Cross NCAA,30,22,8,0.733,-0.31,-5.84,,10,2,,13,1,,9,6,,2034,1868,,1205,640,1437,0.445,136,388,0.351,618,940,0.657,388.0,1155,385,188,157,512.0,583.0,2001,True
105,Houston,29,9,20,0.31,-1.33,4.91,,6,10,,6,7,,1,12,,1897,2078,,1160,644,1549,0.416,105,361,0.291,504,729,0.691,379.0,1079,321,164,77,463.0,616.0,2001,False
106,Howard,28,10,18,0.357,-19.91,-10.37,,8,10,,6,4,,4,12,,1914,2181,,,621,1598,0.389,193,541,0.357,479,672,0.713,323.0,885,328,198,47,421.0,614.0,2001,False
107,Idaho,27,6,21,0.222,-12.17,-0.01,,3,13,,5,9,,1,12,,1720,1992,,,584,1536,0.38,160,505,0.317,392,610,0.643,315.0,883,296,188,60,396.0,584.0,2001,False
108,Idaho State,28,14,14,0.5,-2.1,-1.41,,10,6,,8,6,,5,6,,2074,2044,,,709,1585,0.447,235,599,0.392,421,559,0.753,287.0,952,432,145,82,394.0,559.0,2001,False
109,Illinois NCAA,35,27,8,0.771,23.32,11.38,,13,3,,12,0,,7,4,,2725,2307,,,929,2046,0.454,247,678,0.364,620,880,0.705,479.0,1400,550,269,146,524.0,772.0,2001,True
110,Illinois State,30,21,9,0.7,5.97,0.57,,12,6,,13,2,,7,6,,2257,2095,,1215,766,1655,0.463,155,422,0.367,570,783,0.728,307.0,1021,416,246,91,414.0,610.0,2001,False
111,Illinois-Chicago,28,11,17,0.393,-0.06,3.55,,5,9,,9,6,,2,10,,1901,2002,,,663,1666,0.398,129,365,0.353,446,683,0.653,396.0,1038,385,165,62,351.0,543.0,2001,False
112,Indiana NCAA,34,21,13,0.618,17.58,11.05,,10,6,,13,2,,4,6,,2408,2186,,1370,858,1896,0.453,181,500,0.362,511,804,0.636,377.0,1268,513,231,178,496.0,650.0,2001,True
113,Indiana State NCAA,34,22,12,0.647,6.97,2.51,,10,8,,12,2,,5,8,,2479,2305,,1375,861,1872,0.46,213,594,0.359,544,772,0.705,334.0,1069,521,237,100,402.0,576.0,2001,True
114,Iona NCAA,33,22,11,0.667,0.25,-4.1,,12,6,,12,2,,8,6,,2549,2375,,1330,912,1896,0.481,159,415,0.383,566,822,0.689,378.0,1239,481,259,183,557.0,717.0,2001,True
115,Iowa NCAA,35,23,12,0.657,14.25,10.71,,7,9,,12,4,,5,6,,2593,2469,,,815,1895,0.43,210,573,0.366,753,1068,0.705,482.0,1351,474,191,83,520.0,783.0,2001,True
116,Iowa State NCAA,31,25,6,0.806,15.9,4.87,,13,3,,16,0,,6,4,,2451,2115,,1270,823,1735,0.474,182,436,0.417,623,856,0.728,375.0,1228,429,190,102,467.0,636.0,2001,True
117,IU Indy,29,11,18,0.379,-5.23,-3.34,,6,10,,7,6,,3,11,,2057,2008,,1160,701,1620,0.433,129,394,0.327,526,751,0.7,380.0,1007,342,220,95,418.0,536.0,2001,False
118,Jackson State,30,7,23,0.233,-18.44,-10.44,,7,11,,4,5,,3,16,,2012,2247,,,743,1794,0.414,110,364,0.302,416,632,0.658,420.0,1145,352,193,68,511.0,616.0,2001,False
119,Jacksonville,28,18,10,0.643,-5.83,-8.31,,11,7,,12,2,,6,7,,1962,1784,,1120,701,1549,0.453,175,481,0.364,385,574,0.671,352.0,1008,350,224,151,416.0,474.0,2001,False
120,Jacksonville State,28,9,19,0.321,-14.41,-5.7,,6,12,,7,4,,0,12,,1819,2059,,1135,642,1554,0.413,164,516,0.318,371,567,0.654,376.0,1033,402,185,92,517.0,534.0,2001,False
121,James Madison,29,12,17,0.414,-5.06,-1.85,,6,10,,9,5,,3,11,,1880,1973,,1165,666,1624,0.41,141,456,0.309,407,607,0.671,392.0,1057,330,184,80,435.0,560.0,2001,False
122,Kansas NCAA,33,26,7,0.788,20.23,9.04,,12,4,,14,1,,8,4,,2707,2286,,1320,1002,1996,0.502,183,465,0.394,520,789,0.659,443.0,1407,641,217,170,532.0,648.0,2001,True
123,Kansas City,30,14,16,0.467,-1.56,-3.45,,9,7,,9,5,,5,9,,1889,1815,,,665,1655,0.402,244,734,0.332,315,414,0.761,269.0,874,378,225,80,285.0,499.0,2001,False
124,Kansas State,29,11,18,0.379,3.96,8.41,,4,12,,8,7,,2,10,,1843,1972,,1170,669,1625,0.412,98,299,0.328,407,625,0.651,367.0,1098,349,157,94,454.0,563.0,2001,False
125,Kent State NCAA,34,24,10,0.706,8.69,1.44,,13,5,,10,2,,7,5,,2390,2117,,1370,823,1917,0.429,180,516,0.349,564,739,0.763,403.0,1103,429,233,105,346.0,671.0,2001,True
126,Kentucky NCAA,34,24,10,0.706,20.32,11.12,,12,4,,11,1,,6,6,,2713,2400,,1365,988,2051,0.482,245,708,0.346,492,751,0.655,464.0,1311,539,229,151,513.0,631.0,2001,True
127,La Salle,29,12,17,0.414,2.27,4.79,,5,11,,7,4,,3,12,,2011,2086,,1180,712,1728,0.412,206,619,0.333,381,558,0.683,413.0,1080,373,167,118,419.0,467.0,2001,False
128,Lafayette,28,12,16,0.429,-8.83,-7.45,,4,8,,7,5,,4,9,,2110,2111,,1145,709,1629,0.435,225,637,0.353,467,639,0.731,308.0,933,434,245,121,418.0,592.0,2001,False
129,Lamar,27,9,18,0.333,-16.84,-8.96,,7,13,,8,5,,1,13,,1696,1875,,,588,1421,0.414,146,463,0.315,374,601,0.622,314.0,968,266,138,74,416.0,545.0,2001,False
130,Lehigh,29,13,16,0.448,-10.3,-8.33,,6,6,,8,5,,4,11,,2036,2034,,1175,672,1567,0.429,168,499,0.337,524,720,0.728,331.0,1106,405,234,120,571.0,608.0,2001,False
