Rank,School,Games,Wins,Losses,Win_Pct,SRS,SOS,Conf_W,Wins,Losses,Column_11,Wins,Losses,Home_L,Wins,Losses,Column_17,Points_For,Points_Against,Points_Dummy,Minutes_Played,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,Season,NCAA_Tournament
1,Air Force,29,8,21,0.276,-3.56,1.99,,3,11,,6,9,,1,11,,1667,1828,,1165,544,1251,0.435,245,683,0.359,334,479,0.697,182.0,666,367,211,54,385.0,572.0,2001,False
2,Akron,28,12,16,0.429,-3.09,1.66,,9,9,,8,5,,4,9,,1901,2034,,1125,613,1355,0.452,189,436,0.433,486,670,0.725,252.0,823,379,161,89,445.0,516.0,2001,False
3,Alabama,36,25,11,0.694,14.04,6.29,,8,8,,18,1,,2,7,,2761,2482,,,953,2199,0.433,232,711,0.326,623,893,0.698,580.0,1519,438,257,166,547.0,690.0,2001,False
4,Alabama A&M,28,17,11,0.607,-13.45,-11.93,,13,5,,11,2,,5,9,,2056,2089,,,743,1902,0.391,156,536,0.291,414,661,0.626,497.0,1138,388,339,78,473.0,610.0,2001,False
5,Alabama State NCAA,31,22,9,0.71,-8.99,-13.74,,15,3,,11,2,,8,5,,2135,1980,,,756,1713,0.441,165,506,0.326,458,696,0.658,386.0,1175,410,260,93,510.0,502.0,2001,True
6,Albany (NY),28,6,22,0.214,-18.86,-8.66,,,,,4,9,,1,12,,1928,2169,,1150,712,1656,0.43,166,442,0.376,338,501,0.675,281.0,920,316,225,64,428.0,570.0,2001,False
7,Alcorn State,30,15,15,0.5,-12.2,-10.9,,13,5,,8,2,,6,10,,2245,2283,,1200,784,1790,0.438,159,476,0.334,518,746,0.694,433.0,1158,366,228,95,577.0,588.0,2001,False
8,American,27,7,20,0.259,-10.33,-2.81,,3,13,,6,7,,1,13,,1579,1782,,1085,596,1470,0.405,110,382,0.288,277,484,0.572,348.0,1000,293,137,114,431.0,473.0,2001,False
9,Appalachian State,31,11,20,0.355,-12.13,-4.24,,7,9,,6,8,,5,9,,2005,2186,,1245,743,1715,0.433,133,438,0.304,386,572,0.675,410.0,1172,444,193,79,547.0,598.0,2001,False
10,Arizona NCAA,36,28,8,0.778,26.85,12.56,,15,3,,13,2,,7,3,,2926,2386,,1445,1015,2131,0.476,193,544,0.355,703,940,0.748,487.0,1433,585,283,159,546.0,630.0,2001,True
11,Arizona State,29,13,16,0.448,11.1,9.0,,5,13,,10,7,,2,8,,2121,2060,,1165,779,1757,0.443,105,356,0.295,458,681,0.673,430.0,1144,458,183,119,456.0,678.0,2001,False
12,Arkansas NCAA,31,20,11,0.645,17.25,6.15,,10,6,,16,2,,3,7,,2476,2132,,1250,881,1990,0.443,273,741,0.368,441,639,0.69,410.0,1100,476,365,124,451.0,654.0,2001,True
13,Arkansas State,30,17,13,0.567,-4.21,-2.75,,10,6,,9,4,,6,8,,2189,2168,,,799,1759,0.454,180,535,0.336,411,593,0.693,358.0,1114,415,155,141,442.0,614.0,2001,False
